/panfs/roc/msisoft/python3/3.4-conda/lib/python3.4/site-packages/matplotlib/__init__.py:872: UserWarning: text.fontsize is deprecated and replaced with font.size; please use the latter.
  warnings.warn(self.msg_depr % (key, alt_key))
ufric=0.0926282851166, ufric/uinfty=0.0364118422392
i	zz	z+	um	u+
0	0.0000	0.0000	0.0000	0.0000
1	0.0037	22.3803	1.2076	13.0368
2	0.0110	67.1410	1.3149	14.1951
3	0.0183	111.9016	1.4042	15.1590
4	0.0256	156.6623	1.4776	15.9514
5	0.0329	201.4230	1.5393	16.6178
6	0.0402	246.1836	1.5917	17.1838
7	0.0475	290.9443	1.6362	17.6642
8	0.0548	335.7049	1.6740	18.0720
9	0.0621	380.4656	1.7063	18.4206
10	0.0694	425.2262	1.7342	18.7216
11	0.0767	469.9869	1.7585	18.9850
12	0.0840	514.7475	1.7803	19.2195
13	0.0913	559.5082	1.8000	19.4325
14	0.0986	604.2689	1.8183	19.6296
15	0.1059	649.0295	1.8355	19.8152
16	0.1132	693.7902	1.8519	19.9924
17	0.1205	738.5508	1.8676	20.1625
18	0.1278	783.3115	1.8827	20.3258
19	0.1351	828.0721	1.8973	20.4828
20	0.1424	872.8328	1.9113	20.6345
21	0.1497	917.5934	1.9250	20.7825
22	0.1570	962.3541	1.9386	20.9285
23	0.1643	1007.1148	1.9519	21.0728
24	0.1716	1051.8754	1.9651	21.2154
25	0.1789	1096.6361	1.9782	21.3565
26	0.1862	1141.3967	1.9911	21.4958
27	0.1935	1186.1574	2.0037	21.6320
28	0.2008	1230.9180	2.0159	21.7638
29	0.2081	1275.6787	2.0277	21.8910
30	0.2154	1320.4393	2.0391	22.0143
31	0.2227	1365.2000	2.0502	22.1335
32	0.2300	1409.9607	2.0608	22.2484
33	0.2373	1454.7213	2.0710	22.3583
34	0.2446	1499.4820	2.0807	22.4629
35	0.2519	1544.2426	2.0899	22.5624
36	0.2592	1589.0033	2.0987	22.6569
37	0.2665	1633.7639	2.1069	22.7462
38	0.2738	1678.5246	2.1147	22.8301
39	0.2811	1723.2853	2.1220	22.9086
40	0.2884	1768.0459	2.1287	22.9816
41	0.2957	1812.8066	2.1351	23.0498
42	0.3030	1857.5672	2.1410	23.1141
43	0.3103	1902.3279	2.1467	23.1751
44	0.3176	1947.0885	2.1520	23.2328
45	0.3249	1991.8492	2.1571	23.2875
46	0.3322	2036.6098	2.1619	23.3392
47	0.3395	2081.3705	2.1664	23.3883
48	0.3468	2126.1312	2.1708	23.4354
49	0.3541	2170.8918	2.1750	23.4808
50	0.3614	2215.6525	2.1790	23.5242
51	0.3687	2260.4131	2.1829	23.5658
52	0.3760	2305.1738	2.1865	23.6055
53	0.3833	2349.9344	2.1900	23.6427
54	0.3906	2394.6951	2.1932	23.6770
55	0.3979	2439.4557	2.1961	23.7083
56	0.4052	2484.2164	2.1988	23.7378
57	0.4125	2528.9771	2.2015	23.7672
58	0.4198	2573.7377	2.2044	23.7979
59	0.4271	2618.4984	2.2074	23.8312
60	0.4344	2663.2590	2.2107	23.8668
61	0.4417	2708.0197	2.2141	23.9033
62	0.4490	2752.7803	2.2173	23.9376
63	0.4563	2797.5410	2.2196	23.9620
64	0.4600	2819.9213	2.2196	23.9620
